步骤		状态栈				符号栈				待输入串				ACTION GO
2		0				#				ti(ti){j(ipn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S5：将状态5压入状态栈
4		05				#t				i(ti){j(ipn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S7：将状态7压入状态栈
6		057				#ti				(ti){j(ipn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S8：将状态8压入状态栈
8		0578				#ti(				ti){j(ipn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S10：将状态10压入状态栈
10		057810				#ti(t				i){j(ipn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S13：将状态13压入状态栈
12		05781013				#ti(ti				){j(ipn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r5：用D->ti归约，并将状态9入栈
14		05789				#ti(D				){j(ipn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S12：将状态12压入状态栈
16		0578912				#ti(D)				{j(ipn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S14：将状态14压入状态栈
18		057891214				#ti(D){				j(ipn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S31：将状态31压入状态栈
20		05789121431				#ti(D){j				(ipn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S44：将状态44压入状态栈
22		0578912143144				#ti(D){j(				ipn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S62：将状态62压入状态栈
24		057891214314462				#ti(D){j(i				pn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r19：用J->i归约，并将状态61入栈
26		057891214314461				#ti(D){j(J				pn){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S76：将状态76压入状态栈
28		05789121431446176				#ti(D){j(Jp				n){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S91：将状态91压入状态栈
30		0578912143144617691				#ti(D){j(Jpn				){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r20：用J->n归约，并将状态89入栈
32		0578912143144617689				#ti(D){j(JpJ				){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r21：用L->JpJ归约，并将状态64入栈
34		057891214314464				#ti(D){j(L				){rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S77：将状态77压入状态栈
36		05789121431446477				#ti(D){j(L)				{rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S92：将状态92压入状态栈
38		0578912143144647792				#ti(D){j(L){				rn;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S26：将状态26压入状态栈
40		057891214314464779226				#ti(D){j(L){r				n;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S37：将状态37压入状态栈
42		05789121431446477922637				#ti(D){j(L){rn				;}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S47：将状态47压入状态栈
44		0578912143144647792263747				#ti(D){j(L){rn;				}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r11：用G->rn;归约，并将状态19入栈
46		057891214314464779219				#ti(D){j(L){G				}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r10：用F->G归约，并将状态17入栈
48		057891214314464779217				#ti(D){j(L){F				}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				50		05789121431446477921718				#ti(D){j(L){F@				}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r9：用E->@归约，并将状态36入栈
52		05789121431446477921736				#ti(D){j(L){FE				}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				r8：用E->FE归约，并将状态102入栈
54		0578912143144647792102				#ti(D){j(L){E				}k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S109：将状态109压入状态栈
56		0578912143144647792102109				#ti(D){j(L){E}				k{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S112：将状态112压入状态栈
58		0578912143144647792102109112				#ti(D){j(L){E}k				{ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S114：将状态114压入状态栈
60		0578912143144647792102109112114				#ti(D){j(L){E}k{				ri;}}ti(){ti=n;ti=n;ti=n;ti=n;ti=n;ti=n;j(ipn){io=n;}k{io=n;}w(ipi){io=i;b;}rn;}#				S26：将状态26压入状态栈
